date,% Silica Concentrate
2017-08-17 09:00:00,1.19
2017-08-17 10:00:00,1.19
2017-08-17 11:00:00,1.19
2017-08-17 12:00:00,1.19
2017-08-17 13:00:00,1.19
2017-08-17 14:00:00,1.19
2017-08-17 15:00:00,1.19
2017-08-17 16:00:00,1.19
2017-08-17 17:00:00,1.19
2017-08-17 18:00:00,1.19
2017-08-17 19:00:00,1.19
2017-08-17 20:00:00,1.19
2017-08-17 21:00:00,1.19
2017-08-17 22:00:00,1.19
2017-08-17 23:00:00,1.19
2017-08-18 00:00:00,1.19
2017-08-18 01:00:00,1.19
2017-08-18 02:00:00,1.19
2017-08-18 03:00:00,1.19
2017-08-18 04:00:00,1.19
2017-08-18 05:00:00,1.19
2017-08-18 06:00:00,1.1968
2017-08-18 07:00:00,1.6001333333333332
2017-08-18 08:00:00,1.72705
2017-08-18 09:00:00,1.7897833333333335
2017-08-18 10:00:00,1.8367
2017-08-18 11:00:00,1.8788
2017-08-18 12:00:00,1.9268833333333335
2017-08-18 13:00:00,1.9805499999999998
2017-08-18 14:00:00,2.076166666666667
2017-08-18 15:00:00,2.3286333333333333
2017-08-18 16:00:00,2.7193166666666664
2017-08-18 17:00:00,2.6829661114538337
2017-08-18 18:00:00,2.911453608883389
2017-08-18 19:00:00,3.181814528069111
2017-08-18 20:00:00,3.445657402837723
2017-08-18 21:00:00,3.691976722187889
2017-08-18 22:00:00,3.910056528891611
2017-08-18 23:00:00,4.100201069298778
2017-08-19 00:00:00,4.2260002776063885
2017-08-19 01:00:00,4.172764260744389
2017-08-19 02:00:00,3.95215
2017-08-19 03:00:00,3.752383888546167
2017-08-19 04:00:00,3.6348797244499442
2017-08-19 05:00:00,3.4736688052642224
2017-08-19 06:00:00,3.2693592638289446
2017-08-19 07:00:00,3.114373277812111
2017-08-19 08:00:00,3.0067601377750552
2017-08-19 09:00:00,2.894448930701222
2017-08-19 10:00:00,2.7748997223936107
2017-08-19 11:00:00,2.6696690725889445
2017-08-19 12:00:00,2.5866166666666666
2017-08-19 13:00:00,2.5021666666666667
2017-08-19 14:00:00,2.33735
2017-08-19 15:00:00,2.47805
2017-08-19 16:00:00,2.6006166666666664
2017-08-19 17:00:00,2.6973774401473336
2017-08-19 18:00:00,2.8740333333333337
2017-08-19 19:00:00,3.176518328321389
2017-08-19 20:00:00,3.4996325776852224
2017-08-19 21:00:00,3.8132521589945
2017-08-19 22:00:00,4.109670159611444
2017-08-19 23:00:00,4.399814338036889
2017-08-20 00:00:00,4.682263902382611
2017-08-20 01:00:00,4.7078446295011664
2017-08-20 02:00:00,4.799629616778445
2017-08-20 03:00:00,4.872889226519334
2017-08-20 04:00:00,4.833483333333334
2017-08-20 05:00:00,4.742449539824
2017-08-20 06:00:00,4.6355991228693885
2017-08-20 07:00:00,4.4981706691017225
2017-08-20 08:00:00,4.330263173721889
2017-08-20 09:00:00,4.157152328629778
2017-08-20 10:00:00,4.046119430950722
2017-08-20 11:00:00,3.805188703832166
2017-08-20 12:00:00,3.5949203832215555
2017-08-20 13:00:00,3.3739999999999997
2017-08-20 14:00:00,3.1324
2017-08-20 15:00:00,2.796065465187944
2017-08-20 16:00:00,2.4630849661120555
2017-08-20 17:00:00,2.2455438385704443
2017-08-20 18:00:00,2.056016666666667
2017-08-20 19:00:00,1.9355333333333335
2017-08-20 20:00:00,1.7303833333333334
2017-08-20 21:00:00,1.6926833333333333
2017-08-20 22:00:00,1.6152499999999999
2017-08-20 23:00:00,1.6302166666666669
2017-08-21 00:00:00,1.6431166666666668
2017-08-21 01:00:00,1.6502833333333333
2017-08-21 02:00:00,1.6662000000000001
2017-08-21 03:00:00,1.6184333333333332
2017-08-21 04:00:00,1.5837666666666665
2017-08-21 05:00:00,1.5097666666666667
2017-08-21 06:00:00,1.4359666666666668
2017-08-21 07:00:00,1.3741666666666668
2017-08-21 08:00:00,1.32305
2017-08-21 09:00:00,1.2080999999999997
2017-08-21 10:00:00,1.2190333333333332
2017-08-21 11:00:00,1.5210833333333333
2017-08-21 12:00:00,1.8253833333333334
2017-08-21 13:00:00,2.0896666666666666
2017-08-21 14:00:00,2.4250666666666665
2017-08-21 15:00:00,2.4892833333333333
2017-08-21 16:00:00,2.566666666666667
2017-08-21 17:00:00,2.6654666666666667
2017-08-21 18:00:00,2.6932
2017-08-21 19:00:00,2.7039
2017-08-21 20:00:00,2.634
2017-08-21 21:00:00,2.33425
2017-08-21 22:00:00,2.0489499999999996
2017-08-21 23:00:00,1.7463499999999998
2017-08-22 00:00:00,1.4707666666666668
2017-08-22 01:00:00,1.3971833333333334
2017-08-22 02:00:00,1.3471499999999998
2017-08-22 03:00:00,1.2379333333333333
2017-08-22 04:00:00,1.2344666666666668
2017-08-22 05:00:00,1.26145
2017-08-22 06:00:00,1.2291333333333334
2017-08-22 07:00:00,1.2365166666666667
2017-08-22 08:00:00,1.2085000000000001
2017-08-22 09:00:00,1.2370166666666664
2017-08-22 10:00:00,1.1791833333333333
2017-08-22 11:00:00,1.190783333333333
2017-08-22 12:00:00,1.2369166666666667
2017-08-22 13:00:00,1.2347666666666668
2017-08-22 14:00:00,1.3999
2017-08-22 15:00:00,1.5128
2017-08-22 16:00:00,1.5596999999999999
2017-08-22 17:00:00,1.5426666666666666
2017-08-22 18:00:00,1.5817999999999999
2017-08-22 19:00:00,1.5708166666666667
2017-08-22 20:00:00,1.6194666666666668
2017-08-22 21:00:00,1.6466333333333334
2017-08-22 22:00:00,1.6273833333333334
2017-08-22 23:00:00,1.7655999999999998
2017-08-23 00:00:00,1.6259666666666668
2017-08-23 01:00:00,1.7456500000000001
2017-08-23 02:00:00,1.9630166666666666
2017-08-23 03:00:00,2.084016666666667
2017-08-23 04:00:00,2.20355
2017-08-23 05:00:00,2.236266666666667
2017-08-23 06:00:00,2.25295
2017-08-23 07:00:00,2.3096
2017-08-23 08:00:00,2.3439166666666664
2017-08-23 09:00:00,2.28165
2017-08-23 10:00:00,2.378
2017-08-23 11:00:00,2.3168666666666664
2017-08-23 12:00:00,2.1908
2017-08-23 13:00:00,2.179333333333333
2017-08-23 14:00:00,2.2010333333333336
2017-08-23 15:00:00,2.3209999999999997
2017-08-23 16:00:00,2.3215833333333333
2017-08-23 17:00:00,2.355333333333333
2017-08-23 18:00:00,2.3150666666666666
2017-08-23 19:00:00,2.25825
2017-08-23 20:00:00,2.151883333333333
2017-08-23 21:00:00,1.9661333333333335
2017-08-23 22:00:00,1.85415
2017-08-23 23:00:00,1.74245
2017-08-24 00:00:00,1.5899833333333333
2017-08-24 01:00:00,1.4703
2017-08-24 02:00:00,1.4267833333333335
2017-08-24 03:00:00,1.2958333333333334
2017-08-24 04:00:00,1.2863999999999998
2017-08-24 05:00:00,1.3104166666666666
2017-08-24 06:00:00,1.3352
2017-08-24 07:00:00,1.3471666666666666
2017-08-24 08:00:00,1.3572166666666667
2017-08-24 09:00:00,1.3705166666666668
2017-08-24 10:00:00,1.4020666666666666
2017-08-24 11:00:00,1.4656166666666666
2017-08-24 12:00:00,1.5045833333333334
2017-08-24 13:00:00,1.6598333333333333
2017-08-24 14:00:00,1.8282166666666664
2017-08-24 15:00:00,1.9002166666666669
2017-08-24 16:00:00,1.9145
2017-08-24 17:00:00,2.00435
2017-08-24 18:00:00,2.0847166666666666
2017-08-24 19:00:00,2.126466666666667
2017-08-24 20:00:00,2.0937833333333336
2017-08-24 21:00:00,2.0207333333333333
2017-08-24 22:00:00,1.9435333333333331
2017-08-24 23:00:00,1.7955166666666666
2017-08-25 00:00:00,1.6474333333333333
2017-08-25 01:00:00,1.5589
2017-08-25 02:00:00,1.78755
2017-08-25 03:00:00,1.7022666666666666
2017-08-25 04:00:00,1.7171999999999998
2017-08-25 05:00:00,1.6703
2017-08-25 06:00:00,1.6881166666666667
2017-08-25 07:00:00,1.6955833333333334
2017-08-25 08:00:00,1.730116666666667
2017-08-25 09:00:00,1.73605
2017-08-25 10:00:00,1.6799833333333332
2017-08-25 11:00:00,1.6741333333333335
2017-08-25 12:00:00,1.3866833333333333
2017-08-25 13:00:00,1.3662166666666664
2017-08-25 14:00:00,1.2608333333333333
2017-08-25 15:00:00,1.2504166666666667
2017-08-25 16:00:00,1.2187666666666666
2017-08-25 17:00:00,1.3844666666666665
2017-08-25 18:00:00,1.5343833333333334
2017-08-25 19:00:00,1.7950833333333334
2017-08-25 20:00:00,1.9197499999999998
2017-08-25 21:00:00,2.0234
2017-08-25 22:00:00,2.0463833333333334
2017-08-25 23:00:00,2.0099499999999995
2017-08-26 00:00:00,2.0071333333333334
2017-08-26 01:00:00,2.0186333333333333
2017-08-26 02:00:00,2.2305333333333333
2017-08-26 03:00:00,2.08255
2017-08-26 04:00:00,1.9359833333333332
2017-08-26 05:00:00,1.8159833333333333
2017-08-26 06:00:00,1.75615
2017-08-26 07:00:00,1.7662333333333333
2017-08-26 08:00:00,1.8408666666666667
2017-08-26 09:00:00,1.9536833333333334
2017-08-26 10:00:00,2.11615
2017-08-26 11:00:00,2.360716666666667
2017-08-26 12:00:00,2.3454833333333336
2017-08-26 13:00:00,2.4348666666666663
2017-08-26 14:00:00,2.5436833333333335
2017-08-26 15:00:00,2.4663166666666667
2017-08-26 16:00:00,2.48315
2017-08-26 17:00:00,2.3724166666666666
2017-08-26 18:00:00,2.2782833333333334
2017-08-26 19:00:00,2.2348000000000003
2017-08-26 20:00:00,2.16155
2017-08-26 21:00:00,2.01465
2017-08-26 22:00:00,1.8744666666666665
2017-08-26 23:00:00,1.7816166666666666
2017-08-27 00:00:00,1.6395666666666664
2017-08-27 01:00:00,1.5545666666666667
2017-08-27 02:00:00,1.5287666666666666
2017-08-27 03:00:00,1.5150333333333332
2017-08-27 04:00:00,1.5163666666666666
2017-08-27 05:00:00,1.47755
2017-08-27 06:00:00,1.39025
2017-08-27 07:00:00,1.2882166666666668
2017-08-27 08:00:00,1.3594166666666667
2017-08-27 09:00:00,1.3259833333333333
2017-08-27 10:00:00,1.3850833333333334
2017-08-27 11:00:00,1.44925
2017-08-27 12:00:00,1.4645166666666665
2017-08-27 13:00:00,1.4952666666666665
2017-08-27 14:00:00,1.5117333333333334
2017-08-27 15:00:00,1.5559166666666666
2017-08-27 16:00:00,1.6108833333333334
2017-08-27 17:00:00,1.6618333333333333
2017-08-27 18:00:00,1.5948333333333333
2017-08-27 19:00:00,1.7023833333333334
2017-08-27 20:00:00,1.6656166666666667
2017-08-27 21:00:00,1.6432000000000002
2017-08-27 22:00:00,1.6551166666666668
2017-08-27 23:00:00,1.6618166666666667
2017-08-28 00:00:00,1.6502333333333332
2017-08-28 01:00:00,1.6041166666666666
2017-08-28 02:00:00,1.5537666666666667
2017-08-28 03:00:00,1.6608166666666668
2017-08-28 04:00:00,1.8280166666666666
2017-08-28 05:00:00,1.8887833333333333
2017-08-28 06:00:00,1.9355833333333337
2017-08-28 07:00:00,1.9699
2017-08-28 08:00:00,1.9637166666666668
2017-08-28 09:00:00,1.947083333333333
2017-08-28 10:00:00,1.9523666666666668
2017-08-28 11:00:00,1.9743
2017-08-28 12:00:00,1.9900333333333333
2017-08-28 13:00:00,1.8710666666666664
2017-08-28 14:00:00,1.6984000000000001
2017-08-28 15:00:00,1.72285
2017-08-28 16:00:00,1.773966666666667
2017-08-28 17:00:00,1.8374666666666668
2017-08-28 18:00:00,2.225888724584111
2017-08-28 19:00:00,2.624867744916722
2017-08-28 20:00:00,2.9863139659066666
2017-08-28 21:00:00,3.31205
2017-08-28 22:00:00,3.6150666666666664
2017-08-28 23:00:00,3.9165333333333336
2017-08-29 00:00:00,4.067633333333333
2017-08-29 01:00:00,4.1663
2017-08-29 02:00:00,4.3043
2017-08-29 03:00:00,4.437550000000001
2017-08-29 04:00:00,4.2906112754158885
2017-08-29 05:00:00,4.161448921749945
2017-08-29 06:00:00,4.0566860340933335
2017-08-29 07:00:00,3.8513166666666665
2017-08-29 08:00:00,3.6894500000000003
2017-08-29 09:00:00,3.48055
2017-08-29 10:00:00,3.5126666666666666
2017-08-29 11:00:00,3.4933500000000004
2017-08-29 12:00:00,3.5141666666666667
2017-08-29 13:00:00,3.5199499999999997
2017-08-29 14:00:00,3.2763999999999998
2017-08-29 15:00:00,3.00105
2017-08-29 16:00:00,2.7663666666666664
2017-08-29 17:00:00,2.67005
2017-08-29 18:00:00,2.6720999999999995
2017-08-29 19:00:00,2.61645
2017-08-29 20:00:00,2.4646666666666666
2017-08-29 21:00:00,2.3860333333333337
2017-08-29 22:00:00,2.3865000000000003
2017-08-29 23:00:00,2.3030833333333334
2017-08-30 00:00:00,2.605383333333333
2017-08-30 01:00:00,2.7500999999999998
2017-08-30 02:00:00,2.9977
2017-08-30 03:00:00,3.3377166666666667
2017-08-30 04:00:00,3.5607
2017-08-30 05:00:00,3.7829000000000006
2017-08-30 06:00:00,4.015268717237111
2017-08-30 07:00:00,4.151549244526667
2017-08-30 08:00:00,4.211885892691888
2017-08-30 09:00:00,4.363007729468611
2017-08-30 10:00:00,4.352408017267889
2017-08-30 11:00:00,4.535507035666611
2017-08-30 12:00:00,4.5903833333333335
2017-08-30 13:00:00,4.553966666666666
2017-08-30 14:00:00,4.550733333333333
2017-08-30 15:00:00,4.476299999999999
2017-08-30 16:00:00,4.493514616096222
2017-08-30 17:00:00,4.462750755473333
2017-08-30 18:00:00,4.423147440641444
2017-08-30 19:00:00,4.4496589371980555
2017-08-30 20:00:00,4.383529632257333
2017-08-30 21:00:00,4.3171376554172785
2017-08-30 22:00:00,4.253175397706222
2017-08-30 23:00:00,4.192536502651278
2017-08-31 00:00:00,4.096822308545945
2017-08-31 01:00:00,4.158250000000001
2017-08-31 02:00:00,4.11125
2017-08-31 03:00:00,3.9466666666666668
2017-08-31 04:00:00,3.8078
2017-08-31 05:00:00,3.7345000000000006
2017-08-31 06:00:00,3.5826290171414445
2017-08-31 07:00:00,3.3185553089161113
2017-08-31 08:00:00,3.098274602293778
2017-08-31 09:00:00,2.884213497348722
2017-08-31 10:00:00,2.6077943581207226
2017-08-31 11:00:00,2.34255
2017-08-31 12:00:00,2.137
2017-08-31 13:00:00,2.0191666666666666
2017-08-31 14:00:00,2.024933333333333
2017-08-31 15:00:00,1.783583333333333
2017-08-31 16:00:00,1.7004666666666666
2017-08-31 17:00:00,1.72835
2017-08-31 18:00:00,1.7494166666666664
2017-08-31 19:00:00,1.7760500000000001
2017-08-31 20:00:00,1.8988333333333332
2017-08-31 21:00:00,2.0094000000000003
2017-08-31 22:00:00,2.1557166666666663
2017-08-31 23:00:00,2.4354833333333334
2017-09-01 00:00:00,2.52855
2017-09-01 01:00:00,2.8617047399199445
2017-09-01 02:00:00,3.1982168513387776
2017-09-01 03:00:00,3.520566666666667
2017-09-01 04:00:00,3.7934
2017-09-01 05:00:00,3.9950666666666668
